Latitude (decimal degrees):	51.496
Longitude (decimal degrees):	10.808
Elevation (m):	177
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: 4 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200627:0810,484.57,170.41,8.71,44.32,22.24,2.83,0.0
20200627:0910,605.64,196.67,10.07,52.55,23.43,2.48,0.0
20200627:1010,542.37,291.97,10.26,58.89,24.78,2.69,0.0
20200627:1110,71.29,395.05,6.42,61.78,25.83,2.55,0.0
20200627:1210,766.39,189.67,11.36,60.14,25.19,4.0,0.0
20200627:1310,432.06,316.1,9.24,54.62,23.09,3.79,0.0
20200627:1410,328.48,292.01,7.9,46.8,23.84,3.59,0.0
20200627:1510,146.96,269.14,5.65,37.88,21.95,4.14,0.0
20200627:1610,281.57,107.13,5.72,28.58,21.21,2.76,0.0
20200627:1710,115.66,76.21,3.66,19.35,21.53,2.41,0.0
20200627:1810,0.0,50.82,0.76,10.53,21.83,2.9,0.0
20200627:1910,0.0,10.7,0.16,2.45,22.81,2.76,0.0
20200627:2010,0.0,0.0,0.0,0.0,21.67,2.34,0.0
20200627:2110,0.0,0.0,0.0,0.0,20.43,2.14,0.0
20200627:2210,0.0,0.0,0.0,0.0,19.42,2.14,0.0
20200627:2310,0.0,0.0,0.0,0.0,18.43,2.21,0.0
20200628:0010,0.0,0.0,0.0,0.0,17.71,2.28,0.0
20200628:0110,0.0,0.0,0.0,0.0,17.41,2.55,0.0
20200628:0210,0.0,0.0,0.0,0.0,17.14,2.41,0.0
20200628:0310,0.0,0.0,0.0,0.0,16.65,1.93,0.0
20200628:0410,0.0,8.02,0.12,8.06,16.49,1.79,0.0
20200628:0510,0.0,19.58,0.28,16.7,18.01,1.72,0.0
20200628:0610,11.82,166.29,2.63,25.85,19.89,2.62,0.0
20200628:0710,160.03,235.42,5.72,35.17,21.7,3.59,0.0
20200628:0810,5.03,238.07,3.48,44.26,20.55,4.55,0.0
20200628:0910,0.0,151.08,2.17,52.49,20.76,4.0,0.0
20200628:1010,0.0,138.95,2.0,58.83,21.91,4.21,0.0
20200628:1110,304.52,405.63,9.02,61.74,23.08,4.83,0.0
20200628:1210,0.0,206.1,2.96,60.11,23.59,4.83,0.0
20200628:1310,77.48,371.36,6.15,54.61,23.54,4.76,0.0
20200628:1410,17.41,283.01,4.26,46.8,22.51,4.48,0.0
20200628:1510,15.32,235.03,3.56,37.88,21.38,4.21,0.0
20200628:1610,0.0,77.4,1.11,28.58,20.47,3.72,0.0
20200628:1710,0.0,23.31,0.33,19.35,19.9,3.17,0.0
20200628:1810,0.0,12.48,0.19,10.52,19.31,2.62,0.0
20200628:1910,0.0,0.89,0.01,2.44,17.91,2.41,0.0
20200628:2010,0.0,0.0,0.0,0.0,17.36,2.28,0.0
20200628:2110,0.0,0.0,0.0,0.0,16.92,2.34,0.0
20200628:2210,0.0,0.0,0.0,0.0,16.46,2.21,0.0
20200628:2310,0.0,0.0,0.0,0.0,16.1,1.79,0.0
20200629:0010,0.0,0.0,0.0,0.0,15.48,1.59,0.0
20200629:0110,0.0,0.0,0.0,0.0,14.66,1.59,0.0
20200629:0210,0.0,0.0,0.0,0.0,14.29,1.66,0.0
20200629:0310,0.0,0.0,0.0,0.0,13.69,1.79,0.0
20200629:0410,0.0,47.26,0.71,8.0,13.16,1.72,0.0
20200629:0510,18.56,99.53,2.49,16.64,14.78,1.66,0.0
20200629:0610,26.39,179.36,3.11,25.78,15.67,2.14,0.0
20200629:0710,0.0,120.3,1.73,35.11,16.54,1.93,0.0
20200629:0810,73.42,317.43,5.47,44.19,17.42,2.14,0.0
20200629:0910,72.94,361.65,6.02,52.42,18.28,2.69,0.0
20200629:1010,658.45,246.23,11.01,58.77,19.33,3.38,0.0
20200629:1110,0.0,203.3,2.92,61.69,20.1,3.72,0.0
20200629:1210,764.85,206.19,11.54,60.08,20.5,3.72,0.0
20200629:1310,766.23,156.9,11.05,54.59,20.71,3.72,0.0
20200629:1410,425.87,261.94,8.63,46.79,21.12,4.0,0.0
20200629:1510,335.34,209.66,7.18,37.88,20.76,4.28,0.0
20200629:1610,228.54,147.37,5.48,28.58,20.36,4.28,0.0
20200629:1710,94.03,97.94,3.5,19.34,19.72,3.93,0.0
20200629:1810,0.0,48.15,0.72,10.51,18.92,3.45,0.0
20200629:1910,0.0,10.7,0.16,2.43,18.63,2.07,0.0
20200629:2010,0.0,0.0,0.0,0.0,17.52,1.86,0.0
20200629:2110,0.0,0.0,0.0,0.0,16.46,2.07,0.0
20200629:2210,0.0,0.0,0.0,0.0,15.6,2.28,0.0
20200629:2310,0.0,0.0,0.0,0.0,14.9,2.28,0.0
20200630:0010,0.0,0.0,0.0,0.0,14.35,2.28,0.0
20200630:0110,0.0,0.0,0.0,0.0,13.96,2.48,0.0
20200630:0210,0.0,0.0,0.0,0.0,14.07,2.9,0.0
20200630:0310,0.0,0.0,0.0,0.0,13.76,3.24,0.0
20200630:0410,0.0,40.12,0.6,7.92,13.58,3.59,0.0
20200630:0510,48.03,45.48,3.26,16.56,14.12,3.66,0.0
20200630:0610,169.36,114.15,5.02,25.71,15.01,5.93,0.0
20200630:0710,321.03,155.96,6.99,35.03,16.22,6.28,0.0
20200630:0810,341.09,259.1,8.03,44.12,17.13,7.1,0.0
20200630:0910,314.42,345.63,8.55,52.35,18.0,7.24,0.0
20200630:1010,476.27,335.41,10.06,58.7,18.94,7.1,0.0
20200630:1110,515.58,343.15,10.48,61.63,19.84,6.9,0.0
20200630:1210,650.44,271.67,11.04,60.03,20.7,6.83,0.0
20200630:1310,580.11,263.56,10.22,54.56,21.36,6.76,0.0
20200630:1410,292.13,316.94,7.81,46.77,21.67,6.48,0.0
20200630:1510,486.12,125.68,8.0,37.87,21.83,6.28,0.0
20200630:1610,79.88,208.56,4.15,28.57,21.25,5.1,0.0
20200630:1710,59.24,122.38,3.08,19.33,20.75,4.0,0.0
20200630:1810,0.0,64.2,0.96,10.5,19.88,3.17,0.0
20200630:1910,0.0,6.24,0.09,2.4,18.64,2.9,0.0
20200630:2010,0.0,0.0,0.0,0.0,17.86,2.76,0.0
20200630:2110,0.0,0.0,0.0,0.0,17.19,3.1,0.0
20200630:2210,0.0,0.0,0.0,0.0,16.84,3.59,0.0
20200630:2310,0.0,0.0,0.0,0.0,16.73,3.93,0.0
20200701:0010,0.0,0.0,0.0,0.0,16.65,4.07,0.0
20200701:0110,0.0,0.0,0.0,0.0,16.79,4.07,0.0
20200701:0210,0.0,0.0,0.0,0.0,16.79,3.93,0.0
20200701:0310,0.0,0.0,0.0,0.0,16.74,3.79,0.0
20200701:0410,0.0,40.12,0.6,7.85,16.67,3.72,0.0
20200701:0510,0.0,20.52,0.29,16.49,16.84,3.31,0.0
20200701:0610,0.0,92.33,1.33,25.64,17.49,3.86,0.0
20200701:0710,25.05,232.0,3.7,34.96,17.78,3.79,0.0
20200701:0810,160.05,311.66,6.46,44.04,18.16,3.66,0.0
20200701:0910,26.84,320.11,4.9,52.28,18.99,3.86,0.0
20200701:1010,69.03,383.36,6.24,58.62,21.02,5.38,0.0
20200701:1110,6.8,304.56,4.45,61.56,22.41,5.93,0.0
20200701:1210,547.32,308.13,10.34,59.99,22.91,5.93,0.0
20200701:1310,1.13,241.61,3.48,54.53,22.73,5.59,0.0
20200701:1410,56.73,320.23,5.23,46.75,23.31,4.69,0.0
20200701:1510,329.9,204.58,7.03,37.85,23.09,5.1,0.0
20200701:1610,93.49,200.48,4.23,28.55,21.92,4.34,0.0
20200701:1710,0.0,74.61,1.07,19.31,20.96,3.1,0.0
20200701:1810,0.0,61.52,0.92,10.47,20.34,2.48,0.0
20200701:1910,0.0,8.92,0.13,2.38,20.37,2.07,0.0
20200701:2010,0.0,0.0,0.0,0.0,19.09,2.07,0.0
20200701:2110,0.0,0.0,0.0,0.0,18.0,2.28,0.0
20200701:2210,0.0,0.0,0.0,0.0,17.39,2.41,0.0
20200701:2310,0.0,0.0,0.0,0.0,16.66,2.69,0.0
20200702:0010,0.0,0.0,0.0,0.0,16.26,2.34,0.0
20200702:0110,0.0,0.0,0.0,0.0,15.73,2.14,0.0
20200702:0210,0.0,0.0,0.0,0.0,15.65,2.0,0.0
20200702:0310,0.0,0.0,0.0,0.0,15.6,1.86,0.0
20200702:0410,0.0,45.47,0.68,7.76,15.64,1.72,0.0
20200702:0510,33.35,70.9,2.93,16.4,16.16,1.79,0.0
20200702:0610,159.47,119.01,4.9,25.56,16.77,2.28,0.0
20200702:0710,275.59,181.73,6.67,34.88,18.01,3.66,0.0
20200702:0810,245.75,295.3,7.3,43.96,18.66,3.79,0.0
20200702:0910,155.77,374.65,7.13,52.19,19.71,4.07,0.0
20200702:1010,162.66,410.69,7.62,58.54,20.62,4.21,0.0
20200702:1110,585.43,310.55,10.83,61.49,21.54,4.28,0.0
20200702:1210,486.22,345.41,10.14,59.93,22.03,4.28,0.0
20200702:1310,368.19,351.0,8.98,54.49,22.23,3.93,0.0
20200702:1410,115.75,341.8,6.18,46.72,22.35,3.38,0.0
20200702:1510,0.0,90.46,1.3,37.83,22.13,2.69,0.0
20200702:1610,0.0,93.26,1.34,28.53,21.88,2.14,0.0
20200702:1710,4.48,114.36,1.74,19.28,21.49,2.34,0.0
20200702:1810,0.0,32.1,0.48,10.45,20.12,2.55,0.0
20200702:1910,0.0,0.89,0.01,2.34,19.37,2.55,0.0
20200702:2010,0.0,0.0,0.0,0.0,17.94,2.21,0.0
20200702:2110,0.0,0.0,0.0,0.0,16.91,2.55,0.0
20200702:2210,0.0,0.0,0.0,0.0,15.82,2.76,0.0
20200702:2310,0.0,0.0,0.0,0.0,15.28,2.41,0.0
20200703:0010,0.0,0.0,0.0,0.0,14.66,2.76,0.0
20200703:0110,0.0,0.0,0.0,0.0,14.25,3.24,0.0
20200703:0210,0.0,0.0,0.0,0.0,14.02,3.24,0.0
20200703:0310,0.0,0.0,0.0,0.0,13.45,2.83,0.0
20200703:0410,0.0,29.42,0.44,7.68,13.31,2.69,0.0
20200703:0510,6.65,105.67,1.92,16.32,13.77,3.38,0.0
20200703:0610,106.04,155.19,4.37,25.47,14.61,4.21,0.0
20200703:0710,167.4,233.77,5.8,34.79,16.12,4.07,0.0
20200703:0810,100.78,320.32,5.84,43.87,16.92,3.86,0.0
20200703:0910,39.77,339.98,5.33,52.11,17.91,4.28,0.0
20200703:1010,85.84,396.44,6.6,58.46,18.89,4.62,0.0
20200703:1110,0.0,117.51,1.69,61.41,19.37,4.55,0.0
20200703:1210,44.44,376.5,5.87,59.87,20.09,4.48,0.0
20200703:1310,149.89,390.26,7.17,54.44,20.25,4.55,0.0
20200703:1410,133.36,343.45,6.39,46.68,20.48,4.62,0.0
20200703:1510,54.43,272.55,4.57,37.8,20.66,4.55,0.0
20200703:1610,124.48,196.66,4.62,28.5,20.6,4.28,0.0
20200703:1710,126.52,73.33,3.8,19.26,20.25,3.86,0.0
20200703:1810,0.0,49.04,0.74,10.41,19.81,3.38,0.0
20200703:1910,0.0,0.0,0.0,0.0,18.71,2.48,0.0
20200703:2010,0.0,0.0,0.0,0.0,17.74,1.93,0.0
20200703:2110,0.0,0.0,0.0,0.0,16.59,1.86,0.0
20200703:2210,0.0,0.0,0.0,0.0,15.48,2.0,0.0
20200703:2310,0.0,0.0,0.0,0.0,14.67,2.14,0.0
20200704:0010,0.0,0.0,0.0,0.0,14.08,2.34,0.0
20200704:0110,0.0,0.0,0.0,0.0,13.74,2.41,0.0
20200704:0210,0.0,0.0,0.0,0.0,13.41,2.41,0.0
20200704:0310,0.0,0.0,0.0,0.0,13.12,2.41,0.0
20200704:0410,0.0,7.13,0.11,7.59,13.09,2.34,0.0
20200704:0510,5.27,102.9,1.8,16.23,14.69,2.34,0.0
20200704:0610,180.85,97.64,5.01,25.38,16.57,3.45,0.0
20200704:0710,99.42,248.25,5.01,34.7,17.78,4.48,0.0
20200704:0810,489.11,169.81,8.74,43.78,19.0,5.38,0.0
20200704:0910,75.3,358.15,5.99,52.01,19.96,5.24,0.0
20200704:1010,621.44,257.0,10.69,58.36,21.01,5.45,0.0
20200704:1110,462.46,355.58,10.03,61.33,21.88,5.66,0.0
20200704:1210,497.28,333.8,10.1,59.8,22.82,5.72,0.0
20200704:1310,161.31,385.62,7.22,54.39,23.42,5.86,0.0
20200704:1410,172.91,336.35,6.73,46.64,23.58,6.0,0.0
20200704:1510,10.28,222.58,3.32,37.76,23.77,5.86,0.0
20200704:1610,3.61,153.03,2.25,28.47,23.71,5.72,0.0
20200704:1710,23.83,130.34,2.4,19.22,23.25,5.1,0.0
20200704:1810,0.0,52.61,0.79,10.37,22.47,4.28,0.0
20200704:1910,0.0,0.0,0.0,0.0,21.08,4.34,0.0
20200704:2010,0.0,0.0,0.0,0.0,20.93,4.34,0.0
20200704:2110,0.0,0.0,0.0,0.0,20.15,4.14,0.0
20200704:2210,0.0,0.0,0.0,0.0,19.81,4.0,0.0
20200704:2310,0.0,0.0,0.0,0.0,19.5,4.07,0.0
20200705:0010,0.0,0.0,0.0,0.0,19.27,4.14,0.0
20200705:0110,0.0,0.0,0.0,0.0,18.9,4.28,0.0
20200705:0210,0.0,0.0,0.0,0.0,18.61,4.41,0.0
20200705:0310,0.0,0.0,0.0,0.0,18.55,4.48,0.0
20200705:0410,0.0,13.37,0.2,7.49,18.57,4.62,0.0
20200705:0510,0.26,74.49,1.09,16.13,18.69,4.76,0.0
20200705:0610,0.0,114.71,1.65,25.29,19.11,4.76,0.0
20200705:0710,51.08,245.92,4.27,34.61,20.0,7.03,0.0
20200705:0810,1.01,209.88,3.03,43.69,20.62,6.55,0.0
20200705:0910,15.07,299.55,4.47,51.92,21.76,7.93,0.0
20200705:1010,49.13,370.18,5.84,58.27,22.17,7.31,0.0
20200705:1110,403.72,376.05,9.66,61.23,22.71,7.1,0.0
20200705:1210,710.07,230.14,11.16,59.72,23.44,7.66,0.0
20200705:1310,396.34,335.99,9.07,54.33,23.65,7.1,0.0
20200705:1410,35.06,304.23,4.76,46.6,24.12,7.17,0.0
20200705:1510,102.99,276.13,5.2,37.72,23.93,6.28,0.0
20200705:1610,0.0,55.95,0.8,28.43,23.44,6.0,0.0
20200705:1710,0.0,53.16,0.76,19.18,22.59,4.97,0.0
20200705:1810,0.0,13.37,0.2,10.33,21.79,4.83,0.0
20200705:1910,0.0,0.0,0.0,0.0,21.53,4.83,0.0
20200705:2010,0.0,0.0,0.0,0.0,20.67,4.76,0.0
20200705:2110,0.0,0.0,0.0,0.0,19.82,4.83,0.0
20200705:2210,0.0,0.0,0.0,0.0,18.64,4.76,0.0
20200705:2310,0.0,0.0,0.0,0.0,18.13,4.62,0.0
20200706:0010,0.0,0.0,0.0,0.0,17.48,4.48,0.0
20200706:0110,0.0,0.0,0.0,0.0,16.77,4.55,0.0
20200706:0210,0.0,0.0,0.0,0.0,15.6,4.55,0.0
20200706:0310,0.0,0.0,0.0,0.0,14.69,4.48,0.0
20200706:0410,0.0,41.02,0.62,7.39,14.01,4.28,0.0
20200706:0510,28.57,74.4,2.8,16.04,13.92,4.55,0.0
20200706:0610,113.61,149.22,4.43,25.19,14.38,5.86,0.0
20200706:0710,235.88,203.56,6.38,34.51,15.31,6.07,0.0
20200706:0810,177.78,314.97,6.71,43.59,15.68,6.0,0.0
20200706:0910,245.69,364.81,8.0,51.81,16.6,6.14,0.0
20200706:1010,62.59,385.68,6.2,58.16,16.96,6.48,0.0
20200706:1110,0.0,163.2,2.34,61.14,16.93,6.69,0.0
20200706:1210,115.41,414.37,7.13,59.64,16.74,6.34,0.0
20200706:1310,221.56,389.76,7.9,54.27,17.25,6.55,0.0
20200706:1410,0.0,170.66,2.45,46.55,17.61,6.83,0.0
20200706:1510,121.72,281.39,5.49,37.68,17.54,6.62,0.0
20200706:1610,61.69,209.18,3.89,28.38,17.15,6.28,0.0
20200706:1710,4.53,115.3,1.76,19.13,16.69,5.79,0.0
20200706:1810,0.0,48.15,0.72,10.28,15.31,5.03,0.0
20200706:1910,0.0,0.0,0.0,0.0,14.64,4.41,0.0
20200706:2010,0.0,0.0,0.0,0.0,13.84,4.07,0.0
20200706:2110,0.0,0.0,0.0,0.0,13.07,3.79,0.0
20200706:2210,0.0,0.0,0.0,0.0,12.6,3.59,0.0
20200706:2310,0.0,0.0,0.0,0.0,12.2,3.52,0.0
20200707:0010,0.0,0.0,0.0,0.0,12.07,3.38,0.0
20200707:0110,0.0,0.0,0.0,0.0,11.62,3.17,0.0
20200707:0210,0.0,0.0,0.0,0.0,11.29,3.1,0.0
20200707:0310,0.0,0.0,0.0,0.0,11.07,2.97,0.0
20200707:0410,0.0,42.8,0.64,7.28,10.93,2.76,0.0
20200707:0510,23.91,81.62,2.65,15.93,11.35,3.24,0.0
20200707:0610,184.27,97.31,5.08,25.09,12.12,3.45,0.0
20200707:0710,43.09,246.64,4.17,34.41,12.96,3.24,0.0
20200707:0810,197.16,310.44,6.89,43.49,14.03,3.59,0.0
20200707:0910,286.92,353.23,8.31,51.71,15.14,3.72,0.0
20200707:1010,79.43,394.01,6.5,58.05,15.94,4.0,0.0
20200707:1110,545.79,332.2,10.62,61.03,16.58,3.93,0.0
20200707:1210,304.28,406.03,8.96,59.55,17.26,3.93,0.0
20200707:1310,54.32,361.64,5.76,54.2,17.6,4.0,0.0
20200707:1410,49.43,321.58,5.16,46.49,17.73,4.07,0.0
20200707:1510,356.43,203.19,7.3,37.62,17.95,4.14,0.0
20200707:1610,254.53,135.83,5.64,28.33,17.8,3.79,0.0
20200707:1710,14.29,127.52,2.14,19.08,17.43,3.59,0.0
20200707:1810,0.0,56.17,0.84,10.22,17.03,3.66,0.0
20200707:1910,0.0,0.0,0.0,0.0,16.23,3.72,0.0
20200707:2010,0.0,0.0,0.0,0.0,15.15,3.03,0.0
20200707:2110,0.0,0.0,0.0,0.0,14.45,2.14,0.0
20200707:2210,0.0,0.0,0.0,0.0,13.8,1.79,0.0
20200707:2310,0.0,0.0,0.0,0.0,13.17,1.66,0.0
20200708:0010,0.0,0.0,0.0,0.0,12.8,1.45,0.0
20200708:0110,0.0,0.0,0.0,0.0,12.53,1.31,0.0
20200708:0210,0.0,0.0,0.0,0.0,12.32,1.17,0.0
20200708:0310,0.0,0.0,0.0,0.0,12.13,1.17,0.0
20200708:0410,0.0,6.24,0.09,7.17,12.08,1.03,0.0
20200708:0510,0.0,24.25,0.35,15.83,12.24,0.97,0.0
20200708:0610,0.0,39.17,0.56,24.98,12.62,1.03,0.0
20200708:0710,0.0,62.48,0.9,34.3,13.01,0.69,0.0
20200708:0810,14.17,260.1,3.91,43.38,13.5,1.03,0.0
20200708:0910,0.0,166.93,2.4,51.6,13.86,1.59,0.0
20200708:1010,0.0,121.24,1.74,57.94,14.33,2.62,0.0
20200708:1110,0.0,157.61,2.26,60.92,14.6,2.55,0.0
20200708:1210,8.02,303.75,4.45,59.46,14.89,2.69,0.0
20200708:1310,0.0,170.66,2.45,54.12,14.92,2.76,0.0
20200708:1410,0.0,149.21,2.14,46.42,15.07,2.83,0.0
20200708:1510,20.7,241.07,3.71,37.57,15.45,2.83,0.0
20200708:1610,0.0,91.39,1.31,28.28,15.78,3.03,0.0
20200708:1710,0.0,82.07,1.18,19.02,15.66,3.03,0.0
20200708:1810,0.0,25.86,0.39,10.16,15.26,2.48,0.0
20200708:1910,0.0,0.0,0.0,0.0,14.75,1.79,0.0
20200708:2010,0.0,0.0,0.0,0.0,14.3,1.66,0.0
20200708:2110,0.0,0.0,0.0,0.0,13.74,1.66,0.0
20200708:2210,0.0,0.0,0.0,0.0,13.0,1.66,0.0
20200708:2310,0.0,0.0,0.0,0.0,12.5,1.59,0.0
20200709:0010,0.0,0.0,0.0,0.0,11.65,1.59,0.0
20200709:0110,0.0,0.0,0.0,0.0,11.19,1.52,0.0
20200709:0210,0.0,0.0,0.0,0.0,11.48,1.31,0.0
20200709:0310,0.0,0.0,0.0,0.0,11.97,1.31,0.0
20200709:0410,0.0,5.35,0.08,7.06,12.38,1.45,0.0
20200709:0510,0.0,33.57,0.48,15.71,12.7,1.59,0.0
20200709:0610,0.0,29.84,0.43,24.87,13.15,1.72,0.0
20200709:0710,0.0,122.17,1.76,34.19,13.92,1.86,0.0
